Generation,Laptime,weight 1,weight 2,weight 3,weight 4,weight 5,weight 6,weight 7,
1,193,0.8399248,-0.7619672,0.26825476,-1.5471866,1.5761776,0.40936852,0.26512814,0.0
1,215,1.7232311,1.4391894,-1.1602743,-1.944185,-0.18448114,0.9276686,0.14288473,0.0
1,212,-1.8595636,0.6808765,0.6991527,0.33759618,-1.4757621,1.5621328,-0.13251877,0.0
1,215,1.7232311,1.4391894,-1.1602743,-1.944185,-0.18448114,0.9276686,0.14288473,0.0
1,212,-1.8595636,0.6808765,0.6991527,0.33759618,-1.4757621,1.5621328,-0.13251877,0.0
1,215,1.7232311,1.4391894,-1.1602743,-1.944185,-0.18448114,0.9276686,0.14288473,0.0
1,232,0.07310176,0.6808765,0.6991527,0.5478351,-1.8124361,1.5621328,-0.6888559,0.0
1,257,-1.7446446,0.6808765,0.6991527,0.33759618,0.11296964,-0.30826998,-0.47763777,0.0
1,198,-1.8875434,0.6808765,0.6991527,0.33759618,-0.27250934,0.7096362,-0.13251877,0.0
1,212,-1.8595636,0.6808765,0.6991527,0.33759618,-1.4757621,1.5621328,-0.13251877,0.0
2,195,-1.8875434,0.6808765,0.6991527,-1.3435521,-0.27250934,-0.17432237,-0.13251877,0.0
2,196,-1.8875434,0.6808765,0.6991527,0.33759618,-0.27250934,0.7096362,-0.13251877,0.0
2,196,-1.8875434,0.6808765,0.6991527,0.33759618,-0.27250934,0.7096362,-0.13251877,0.0
2,197,-1.8875434,0.6808765,0.6991527,1.6907673,-0.27250934,0.7096362,-0.13251877,0.0
2,197,-1.8875434,0.6808765,1.593792,0.33759618,-0.27250934,0.7096362,-0.13251877,0.0
2,197,-1.8875434,0.6808765,0.6991527,0.33759618,-0.27250934,0.7096362,-0.13251877,0.0
2,198,-1.8875434,0.6808765,0.6991527,0.33759618,-1.1815584,0.7096362,-0.13251877,0.0
2,198,-1.8875434,0.6808765,0.6991527,0.33759618,-0.27250934,0.7096362,-0.13251877,0.0
2,199,-1.8875434,1.4607313,0.6991527,0.33759618,-0.27250934,0.7096362,-0.13251877,0.0
2,199,-1.8875434,0.6808765,0.6991527,0.33759618,-0.27250934,0.7096362,-0.13251877,0.0
2,197,-1.8875434,0.6808765,0.6991527,0.33759618,-0.27250934,0.7096362,-0.13251877,0.0
2,199,-1.8875434,1.4607313,0.6991527,0.33759618,-0.27250934,0.7096362,-0.13251877,0.0
2,199,-1.8875434,1.4607313,0.6991527,0.33759618,-0.27250934,-0.2157383,-0.13251877,0.0
